| object                                    | objectLabel                                                        | eff |
| ----------------------------------------- | ------------------------------------------------------------------ | --- |
| http://www.wikidata.org/entity/Q209344    | Università degli Studi di Roma "La Sapienza"                       | 69  |
| http://www.wikidata.org/entity/Q229022    | Università Cattolica del Sacro Cuore                               | 38  |
| http://www.wikidata.org/entity/Q499911    | Università degli Studi di Torino                                   | 28  |
| http://www.wikidata.org/entity/Q691851    | Università degli Studi di Napoli Federico II                       | 25  |
| http://www.wikidata.org/entity/Q959524    | Università commerciale Luigi Bocconi                               | 23  |
| http://www.wikidata.org/entity/Q193510    | Università degli Studi di Padova                                   | 20  |
| http://www.wikidata.org/entity/Q131262    | Università di Bologna                                              | 20  |
| http://www.wikidata.org/entity/Q46210     | Università degli Studi di Milano                                   | 19  |
| http://www.wikidata.org/entity/Q219317    | Università di Pavia                                                | 18  |
| http://www.wikidata.org/entity/Q645663    | Università di Pisa                                                 | 18  |
| http://www.wikidata.org/entity/Q820887    | Università di Firenze                                              | 13  |
| http://www.wikidata.org/entity/Q1641504   | Università degli Studi di Palermo                                  | 11  |
| http://www.wikidata.org/entity/Q593321    | Università di Genova                                               | 9   |
| http://www.wikidata.org/entity/Q1248821   | Università di Catania                                              | 7   |
| http://www.wikidata.org/entity/Q392904    | Politecnico di Milano                                              | 7   |
| http://www.wikidata.org/entity/Q774609    | Scuola Superiore Sant'Anna                                         | 7   |
| http://www.wikidata.org/entity/Q1236136   | Università degli Studi di Bari Aldo Moro                           | 6   |
| http://www.wikidata.org/entity/Q532822    | Università degli Studi di Sassari                                  | 5   |
| http://www.wikidata.org/entity/Q748085    | Università degli Studi di Perugia                                  | 5   |
| http://www.wikidata.org/entity/Q672416    | Scuola Normale Superiore                                           | 4   |
| http://www.wikidata.org/entity/Q1546906   | Università Ca' Foscari Venezia                                     | 4   |
| http://www.wikidata.org/entity/Q1245318   | Università degli studi di Messina                                  | 4   |
| http://www.wikidata.org/entity/Q1243705   | Università degli Studi di Modena e Reggio Emilia                   | 4   |
| http://www.wikidata.org/entity/Q1122851   | Libera Università Internazionale degli Studi Sociali "Guido Carli" | 4   |
| http://www.wikidata.org/entity/Q930528    | Università degli Studi di Trento                                   | 3   |
| http://www.wikidata.org/entity/Q392897    | Politecnico di Torino                                              | 3   |
| http://www.wikidata.org/entity/Q13371     | Università di Harvard                                              | 3   |
| http://www.wikidata.org/entity/Q1245999   | Università degli Studi di Siena                                    | 3   |
| http://www.wikidata.org/entity/Q1758474   | Università di Parma                                                | 3   |
| http://www.wikidata.org/entity/Q1751060   | Università di Trieste                                              | 3   |
| http://www.wikidata.org/entity/Q1633215   | Università degli Studi di Salerno                                  | 3   |
| http://www.wikidata.org/entity/Q955609    | Università degli Studi di Ferrara                                  | 3   |
| http://www.wikidata.org/entity/Q3155749   | Sociale                                                            | 3   |
| http://www.wikidata.org/entity/Q21578     | Università di Princeton                                            | 2   |
| http://www.wikidata.org/entity/Q2119752   | Università degli Studi di Urbino Carlo Bo                          | 2   |
| http://www.wikidata.org/entity/Q1781263   | Università degli Studi di Brescia                                  | 2   |
| http://www.wikidata.org/entity/Q2067315   | Università degli Studi di Cagliari                                 | 2   |
| http://www.wikidata.org/entity/Q1742507   | Università degli Studi di Macerata                                 | 2   |
| http://www.wikidata.org/entity/Q1454044   | Libera Università Maria Santissima Assunta                         | 2   |
| http://www.wikidata.org/entity/Q3833046   | Link Campus University                                             | 1   |
| http://www.wikidata.org/entity/Q7588096   | St. George's British International School                          | 1   |
| http://www.wikidata.org/entity/Q3831932   | L.Clas.Umberto I-Napoli-                                           | 1   |
| http://www.wikidata.org/entity/Q3831941   | Paolo Sarpi                                                        | 1   |
| http://www.wikidata.org/entity/Q3953324   | Is Cerletti                                                        | 1   |
| http://www.wikidata.org/entity/Q3953344   | Scuola navale militare "Francesco Morosini"                        | 1   |
| http://www.wikidata.org/entity/Q3831936   | Liceo classico statale Vittorio Alfieri                            | 1   |
| http://www.wikidata.org/entity/Q475007    | Pontificia Università Lateranense                                  | 1   |
| http://www.wikidata.org/entity/Q49112     | Università di Yale                                                 | 1   |
| http://www.wikidata.org/entity/Q924289    | King's College                                                     | 1   |
| http://www.wikidata.org/entity/Q49122     | Harvard Law School                                                 | 1   |
| http://www.wikidata.org/entity/Q49126     | Harvard Business School                                            | 1   |
| http://www.wikidata.org/entity/Q2297486   | Università degli Studi Roma Tre                                    | 1   |
| http://www.wikidata.org/entity/Q662976    | Università Panthéon-Assas                                          | 1   |
| http://www.wikidata.org/entity/Q718869    | Scuola militare "Nunziatella"                                      | 1   |
| http://www.wikidata.org/entity/Q1752540   | Università della Calabria                                          | 1   |
| http://www.wikidata.org/entity/Q1073674   | Università degli Studi di Milano-Bicocca                           | 1   |
| http://www.wikidata.org/entity/Q1109135   | Collegio d'Europa                                                  | 1   |
| http://www.wikidata.org/entity/Q1139065   | Institut d'études politiques d'Aix-en-Provence                     | 1   |
| http://www.wikidata.org/entity/Q1143289   | Yale Law School                                                    | 1   |
| http://www.wikidata.org/entity/Q114415725 | Scuola Normale Superiore. Classe di Lettere e Filosofia            | 1   |
| http://www.wikidata.org/entity/Q1230902   | Università del Salento                                             | 1   |
| http://www.wikidata.org/entity/Q1274578   | Università Europea di Roma                                         | 1   |
| http://www.wikidata.org/entity/Q1329269   | Wharton School of the University of Pennsylvania                   | 1   |
| http://www.wikidata.org/entity/Q136670322 | Facoltà di scienze politiche "Cesare Alfieri"                      | 1   |
| http://www.wikidata.org/entity/Q1378099   | Istituto universitario europeo                                     | 1   |
| http://www.wikidata.org/entity/Q149990    | Università di Rochester                                            | 1   |
| http://www.wikidata.org/entity/Q152087    | Università Humboldt di Berlino                                     | 1   |
| http://www.wikidata.org/entity/Q165980    | Università di Vienna                                               | 1   |
| http://www.wikidata.org/entity/Q174570    | London School of Economics and Political Science                   | 1   |
| http://www.wikidata.org/entity/Q3831927   | Liceo classico Vincenzo Gioberti                                   | 1   |
| http://www.wikidata.org/entity/Q1761894   | Liceo Classico e Musicale "C. Cavour"                              | 1   |
| http://www.wikidata.org/entity/Q1934874   | Accademia militare di Modena                                       | 1   |
| http://www.wikidata.org/entity/Q1959842   | NATO Defense College                                               | 1   |
| http://www.wikidata.org/entity/Q1031803   | Università degli Studi di Roma "Tor Vergata"                       | 1   |
| http://www.wikidata.org/entity/Q230492    | Università del Michigan                                            | 1   |
| http://www.wikidata.org/entity/Q2307935   | Università degli Studi di Udine                                    | 1   |
| http://www.wikidata.org/entity/Q3268623   | Liceo Chateaubriand                                                | 1   |
| http://www.wikidata.org/entity/Q333886    | Università di Georgetown                                           | 1   |
| http://www.wikidata.org/entity/Q3689758   | Convitto Nazionale Cicognini                                       | 1   |
| http://www.wikidata.org/entity/Q38251738  | Istituto Gonzaga                                                   | 1   |
| http://www.wikidata.org/entity/Q3831886   | Liceo Marco Foscarini                                              | 1   |
| http://www.wikidata.org/entity/Q3831888   | Liceo ginnasio Dante                                               | 1   |
| http://www.wikidata.org/entity/Q3831906   | Liceo classico Domenico Alberto Azuni                              | 1   |
| http://www.wikidata.org/entity/Q3831912   | Liceo Giovanni Prati di Trento                                     | 1   |
|                                           |                                                                    |     |
