| item                                     | itemLabel            |
| ---------------------------------------- | -------------------- |
| http://www.wikidata.org/entity/Q1071031  | Paolo Gentiloni      |
| http://www.wikidata.org/entity/Q11860    | Silvio Berlusconi    |
| http://www.wikidata.org/entity/Q1224     | Carlo Azeglio Ciampi |
| http://www.wikidata.org/entity/Q1230     | Francesco Cossiga    |
| http://www.wikidata.org/entity/Q1235     | Giovanni Leone       |
| http://www.wikidata.org/entity/Q1240     | Antonio Segni        |
| http://www.wikidata.org/entity/Q153832   | Alcide De Gasperi    |
| http://www.wikidata.org/entity/Q171834   | Aldo Moro            |
| http://www.wikidata.org/entity/Q192818   | Bettino Craxi        |
| http://www.wikidata.org/entity/Q202209   | Giuliano Amato       |
| http://www.wikidata.org/entity/Q208100   | Lamberto Dini        |
| http://www.wikidata.org/entity/Q273228   | Amintore Fanfani     |
| http://www.wikidata.org/entity/Q294460   | Mario Draghi         |
| http://www.wikidata.org/entity/Q312058   | Emilio Colombo       |
| http://www.wikidata.org/entity/Q314004   | Fernando Tambroni    |
| http://www.wikidata.org/entity/Q316226   | Ciriaco De Mita      |
| http://www.wikidata.org/entity/Q316288   | Mariano Rumor        |
| http://www.wikidata.org/entity/Q320963   | Giuseppe Pella       |
| http://www.wikidata.org/entity/Q332709   | Giovanni Spadolini   |
| http://www.wikidata.org/entity/Q336259   | Giovanni Goria       |
| http://www.wikidata.org/entity/Q366104   | Adone Zoli           |
| http://www.wikidata.org/entity/Q367342   | Mario Scelba         |
| http://www.wikidata.org/entity/Q38484    | Romano Prodi         |
| http://www.wikidata.org/entity/Q434786   | Arnaldo Forlani      |
| http://www.wikidata.org/entity/Q451791   | Giorgia Meloni       |
| http://www.wikidata.org/entity/Q47563    | Matteo Renzi         |
| http://www.wikidata.org/entity/Q47602    | Massimo D'Alema      |
| http://www.wikidata.org/entity/Q47904    | Mario Monti          |
| http://www.wikidata.org/entity/Q50005    | Giulio Andreotti     |
| http://www.wikidata.org/entity/Q53844829 | Giuseppe Conte       |
| http://www.wikidata.org/entity/Q674957   | Enrico Letta         |
|                                          |                      |
