| object                                   | Place of Birth           | eff |
| ---------------------------------------- | ------------------------ | --- |
| http://www.wikidata.org/entity/Q220      | Rome                     | 67  |
| http://www.wikidata.org/entity/Q490      | Milan                    | 31  |
| http://www.wikidata.org/entity/Q2634     | Naples                   | 22  |
| http://www.wikidata.org/entity/Q495      | Turin                    | 15  |
| http://www.wikidata.org/entity/Q1891     | Bologna                  | 12  |
| http://www.wikidata.org/entity/Q1449     | Genoa                    | 11  |
| http://www.wikidata.org/entity/Q2656     | Palermo                  | 9   |
| http://www.wikidata.org/entity/Q617      | Padua                    | 7   |
| http://www.wikidata.org/entity/Q2044     | Florence                 | 7   |
| http://www.wikidata.org/entity/Q13386    | Lecce                    | 6   |
| http://www.wikidata.org/entity/Q2028     | Verona                   | 6   |
| http://www.wikidata.org/entity/Q3519     | Bari                     | 6   |
| http://www.wikidata.org/entity/Q5968     | Cuneo                    | 5   |
| http://www.wikidata.org/entity/Q6285     | Varese                   | 5   |
| http://www.wikidata.org/entity/Q1308     | Como                     | 5   |
| http://www.wikidata.org/entity/Q6237     | Lecco                    | 4   |
| http://www.wikidata.org/entity/Q641      | Venice                   | 4   |
| http://www.wikidata.org/entity/Q1083     | Salerno                  | 4   |
| http://www.wikidata.org/entity/Q5475     | Treviso                  | 4   |
| http://www.wikidata.org/entity/Q628      | Bergamo                  | 4   |
| http://www.wikidata.org/entity/Q1903     | Catania                  | 4   |
| http://www.wikidata.org/entity/Q546      | Trieste                  | 4   |
| http://www.wikidata.org/entity/Q13433    | Avellino                 | 4   |
| http://www.wikidata.org/entity/Q13666    | Messina                  | 4   |
| http://www.wikidata.org/entity/Q13629    | Sassari                  | 4   |
| http://www.wikidata.org/entity/Q6537     | Vicenza                  | 3   |
| http://www.wikidata.org/entity/Q13362    | Ferrara                  | 3   |
| http://www.wikidata.org/entity/Q6572     | Rovigo                   | 3   |
| http://www.wikidata.org/entity/Q13375    | Pisa                     | 3   |
| http://www.wikidata.org/entity/Q13670    | Syracuse                 | 3   |
| http://www.wikidata.org/entity/Q13464    | Foggia                   | 3   |
| http://www.wikidata.org/entity/Q3437     | Perugia                  | 3   |
| http://www.wikidata.org/entity/Q6221     | Brescia                  | 3   |
| http://www.wikidata.org/entity/Q1897     | Cagliari                 | 3   |
| http://www.wikidata.org/entity/Q8471     | Reggio Calabria          | 3   |
| http://www.wikidata.org/entity/Q8611     | La Spezia                | 3   |
| http://www.wikidata.org/entity/Q3543     | Potenza                  | 3   |
| http://www.wikidata.org/entity/Q52153    | Maglie                   | 2   |
| http://www.wikidata.org/entity/Q13395    | Viterbo                  | 2   |
| http://www.wikidata.org/entity/Q56196    | Aidone                   | 2   |
| http://www.wikidata.org/entity/Q3497     | Campobasso               | 2   |
| http://www.wikidata.org/entity/Q20188    | Mondovì                  | 2   |
| http://www.wikidata.org/entity/Q3642     | Asmara                   | 2   |
| http://www.wikidata.org/entity/Q20238    | Morozzo                  | 2   |
| http://www.wikidata.org/entity/Q19279    | Aversa                   | 2   |
| http://www.wikidata.org/entity/Q13678    | Agrigento                | 2   |
| http://www.wikidata.org/entity/Q6274     | Sondrio                  | 2   |
| http://www.wikidata.org/entity/Q3883     | Catanzaro                | 2   |
| http://www.wikidata.org/entity/Q20436    | Foligno                  | 2   |
| http://www.wikidata.org/entity/Q6558     | Belluno                  | 2   |
| http://www.wikidata.org/entity/Q55893    | Ceppaloni                | 2   |
| http://www.wikidata.org/entity/Q6259     | Pavia                    | 2   |
| http://www.wikidata.org/entity/Q72712    | Torre Annunziata         | 2   |
| http://www.wikidata.org/entity/Q103219   | Pontedera                | 2   |
| http://www.wikidata.org/entity/Q2683     | Parma                    | 2   |
| http://www.wikidata.org/entity/Q481730   | Mazara del Vallo         | 2   |
| http://www.wikidata.org/entity/Q8621     | Terni                    | 2   |
| http://www.wikidata.org/entity/Q83362    | Recanati                 | 2   |
| http://www.wikidata.org/entity/Q42975    | Cuggiono                 | 2   |
| http://www.wikidata.org/entity/Q47224    | Conegliano               | 2   |
| http://www.wikidata.org/entity/Q111289   | Scandiano                | 2   |
| http://www.wikidata.org/entity/Q1155     | Busto Arsizio            | 2   |
| http://www.wikidata.org/entity/Q478741   | Paternò                  | 2   |
| http://www.wikidata.org/entity/Q101685   | Treviglio                | 2   |
| http://www.wikidata.org/entity/Q2790     | Udine                    | 2   |
| http://www.wikidata.org/entity/Q279      | Modena                   | 2   |
| http://www.wikidata.org/entity/Q52981    | Faenza                   | 2   |
| http://www.wikidata.org/entity/Q13320    | Savona                   | 2   |
| http://www.wikidata.org/entity/Q51933    | Lucera                   | 2   |
