| object                                   | Political Party                                 | eff |
| ---------------------------------------- | ----------------------------------------------- | --- |
| http://www.wikidata.org/entity/Q815348   | Democrazia Cristiana                            | 185 |
| http://www.wikidata.org/entity/Q47729    | Partito Democratico                             | 84  |
| http://www.wikidata.org/entity/Q590750   | Partito Socialista Italiano                     | 51  |
| http://www.wikidata.org/entity/Q327591   | indipendente                                    | 41  |
| http://www.wikidata.org/entity/Q47720    | Il Popolo della Libertà                         | 29  |
| http://www.wikidata.org/entity/Q215350   | Forza Italia                                    | 26  |
| http://www.wikidata.org/entity/Q665335   | Partito Socialista Democratico Italiano         | 22  |
| http://www.wikidata.org/entity/Q508733   | Partito Liberale Italiano                       | 21  |
| http://www.wikidata.org/entity/Q461886   | Partito Comunista Italiano                      | 20  |
| http://www.wikidata.org/entity/Q47750    | Lega Nord                                       | 18  |
| http://www.wikidata.org/entity/Q14924303 | Forza Italia                                    | 18  |
| http://www.wikidata.org/entity/Q767560   | Partito Repubblicano Italiano                   | 17  |
| http://www.wikidata.org/entity/Q47817    | Movimento 5 Stelle                              | 16  |
| http://www.wikidata.org/entity/Q662849   | Alleanza Nazionale                              | 15  |
| http://www.wikidata.org/entity/Q1259087  | Partito Popolare Italiano                       | 12  |
| http://www.wikidata.org/entity/Q541679   | Democratici di Sinistra                         | 12  |
| http://www.wikidata.org/entity/Q1141788  | Democrazia è Libertà – La Margherita            | 11  |
| http://www.wikidata.org/entity/Q1294923  | Partito Democratico della Sinistra              | 11  |
| http://www.wikidata.org/entity/Q1757843  | Fratelli d'Italia                               | 9   |
| http://www.wikidata.org/entity/Q1126102  | Movimento Sociale Italiano                      | 7   |
| http://www.wikidata.org/entity/Q2792033  | Scelta Civica                                   | 7   |
| http://www.wikidata.org/entity/Q47781    | Unione di Centro (2002)                         | 6   |
| http://www.wikidata.org/entity/Q2717398  | Partito Popolare Italiano                       | 5   |
| http://www.wikidata.org/entity/Q662502   | Federazione dei Verdi                           | 5   |
| http://www.wikidata.org/entity/Q764125   | Partito d'Azione                                | 4   |
| http://www.wikidata.org/entity/Q67785862 | Italia Viva                                     | 4   |
| http://www.wikidata.org/entity/Q1185894  | I Democratici                                   | 4   |
| http://www.wikidata.org/entity/Q15196039 | Nuovo Centrodestra                              | 3   |
