| object                                    | Occupation                                 | eff |
| ----------------------------------------- | ------------------------------------------ | --- |
| http://www.wikidata.org/entity/Q82955     | politician                                 | 567 |
| http://www.wikidata.org/entity/Q40348     | lawyer                                     | 80  |
| http://www.wikidata.org/entity/Q1622272   | university teacher                         | 66  |
| http://www.wikidata.org/entity/Q1930187   | journalist                                 | 65  |
| http://www.wikidata.org/entity/Q188094    | economist                                  | 64  |
| http://www.wikidata.org/entity/Q185351    | jurist                                     | 45  |
| http://www.wikidata.org/entity/Q193391    | diplomat                                   | 32  |
| http://www.wikidata.org/entity/Q212948    | partisan                                   | 31  |
| http://www.wikidata.org/entity/Q16533     | judge                                      | 28  |
| http://www.wikidata.org/entity/Q43845     | businessperson                             | 18  |
| http://www.wikidata.org/entity/Q81096     | engineer                                   | 16  |
| http://www.wikidata.org/entity/Q806798    | banker                                     | 14  |
| http://www.wikidata.org/entity/Q39631     | physician                                  | 13  |
| http://www.wikidata.org/entity/Q15627169  | trade unionist                             | 12  |
| http://www.wikidata.org/entity/Q37226     | teacher                                    | 12  |
| http://www.wikidata.org/entity/Q4594605   | magistrate                                 | 10  |
| http://www.wikidata.org/entity/Q36180     | writer                                     | 10  |
| http://www.wikidata.org/entity/Q131524    | entrepreneur                               | 9   |
| http://www.wikidata.org/entity/Q83307     | minister                                   | 9   |
| http://www.wikidata.org/entity/Q201788    | historian                                  | 8   |
| http://www.wikidata.org/entity/Q212238    | civil servant                              | 5   |
| http://www.wikidata.org/entity/Q2306091   | sociologist                                | 4   |
| http://www.wikidata.org/entity/Q2462658   | manager                                    | 4   |
| http://www.wikidata.org/entity/Q947873    | television presenter                       | 4   |
| http://www.wikidata.org/entity/Q3400985   | academic                                   | 3   |
| http://www.wikidata.org/entity/Q189290    | military officer                           | 3   |
| http://www.wikidata.org/entity/Q774306    | surgeon                                    | 3   |
| http://www.wikidata.org/entity/Q121594    | professor                                  | 3   |
| http://www.wikidata.org/entity/Q14467526  | linguist                                   | 3   |
| http://www.wikidata.org/entity/Q1238570   | political scientist                        | 3   |
| http://www.wikidata.org/entity/Q169470    | physicist                                  | 3   |
| http://www.wikidata.org/entity/Q1650915   | researcher                                 | 2   |
| http://www.wikidata.org/entity/Q2732142   | statistician                               | 2   |
| http://www.wikidata.org/entity/Q15980158  | non-fiction writer                         | 2   |
| http://www.wikidata.org/entity/Q16062369  | oncologist                                 | 2   |
| http://www.wikidata.org/entity/Q593644    | chemist                                    | 2   |
| http://www.wikidata.org/entity/Q33999     | actor                                      | 2   |
| http://www.wikidata.org/entity/Q1781198   | agronomist                                 | 2   |
| http://www.wikidata.org/entity/Q17598791  | latinist                                   | 2   |
| http://www.wikidata.org/entity/Q901402    | geographer                                 | 1   |
| http://www.wikidata.org/entity/Q4018482   | education minister                         | 1   |
| http://www.wikidata.org/entity/Q864380    | biographer                                 | 1   |
| http://www.wikidata.org/entity/Q4220892   | film critic                                | 1   |
| http://www.wikidata.org/entity/Q384593    | police officer                             | 1   |
| http://www.wikidata.org/entity/Q3765897   | pubblicista journalist                     | 1   |
| http://www.wikidata.org/entity/Q2516866   | publisher                                  | 1   |
| http://www.wikidata.org/entity/Q371909    | prefect                                    | 1   |
| http://www.wikidata.org/entity/Q9385011   | neurosurgeon                               | 1   |
| http://www.wikidata.org/entity/Q5137571   | basketball coach                           | 1   |
| http://www.wikidata.org/entity/Q42909     | reporter                                   | 1   |
| http://www.wikidata.org/entity/Q832136    | business manager                           | 1   |
| http://www.wikidata.org/entity/Q44508716  | television personality                     | 1   |
| http://www.wikidata.org/entity/Q8125919   | political adviser                          | 1   |
| http://www.wikidata.org/entity/Q600751    | prosecutor                                 | 1   |
| http://www.wikidata.org/entity/Q4610556   | model                                      | 1   |
| http://www.wikidata.org/entity/Q47064     | military personnel                         | 1   |
| http://www.wikidata.org/entity/Q482980    | author                                     | 1   |
| http://www.wikidata.org/entity/Q5716684   | dancer                                     | 1   |
| http://www.wikidata.org/entity/Q484876    | chief executive officer                    | 1   |
| http://www.wikidata.org/entity/Q4964182   | philosopher                                | 1   |
| http://www.wikidata.org/entity/Q5090503   | chemical technologist                      | 1   |
| http://www.wikidata.org/entity/Q13582652  | civil engineer                             | 1   |
| http://www.wikidata.org/entity/Q1792450   | art historian                              | 1   |
| http://www.wikidata.org/entity/Q17486321  | agrarian historian                         | 1   |
| http://www.wikidata.org/entity/Q1714174   | judge of the Constitutional Court of Italy | 1   |
| http://www.wikidata.org/entity/Q16742175  | speleologist                               | 1   |
| http://www.wikidata.org/entity/Q1607826   | editor                                     | 1   |
| http://www.wikidata.org/entity/Q15839134  | ecologist                                  | 1   |
| http://www.wikidata.org/entity/Q14972848  | lexicographer                              | 1   |
| http://www.wikidata.org/entity/Q1420621   | media proprietor                           | 1   |
| http://www.wikidata.org/entity/Q18245236  | radiologist                                | 1   |
| http://www.wikidata.org/entity/Q13418253  | philologist                                | 1   |
| http://www.wikidata.org/entity/Q13382566  | canoeist                                   | 1   |
| http://www.wikidata.org/entity/Q131062    | urban planner                              | 1   |
| http://www.wikidata.org/entity/Q12362622  | philanthropist                             | 1   |
| http://www.wikidata.org/entity/Q1234713   | theologian                                 | 1   |
| http://www.wikidata.org/entity/Q12013238  | ophthalmologist                            | 1   |
| http://www.wikidata.org/entity/Q11774202  | essayist                                   | 1   |
| http://www.wikidata.org/entity/Q11774156  | memoirist                                  | 1   |
| http://www.wikidata.org/entity/Q2526255   | film director                              | 1   |
| http://www.wikidata.org/entity/Q333634    | translator                                 | 1   |
| http://www.wikidata.org/entity/Q33231     | photographer                               | 1   |
| http://www.wikidata.org/entity/Q3055126   | entomologist                               | 1   |
| http://www.wikidata.org/entity/Q2961975   | business executive                         | 1   |
| http://www.wikidata.org/entity/Q28389     | screenwriter                               | 1   |
| http://www.wikidata.org/entity/Q27349     | dentist                                    | 1   |
| http://www.wikidata.org/entity/Q2640827   | gynecologist                               | 1   |
| http://www.wikidata.org/entity/Q256688    | medical director                           | 1   |
| http://www.wikidata.org/entity/Q3410028   | psychoanalyst                              | 1   |
| http://www.wikidata.org/entity/Q111398859 | association football executive             | 1   |
| http://www.wikidata.org/entity/Q248577    | President of the Republic                  | 1   |
| http://www.wikidata.org/entity/Q24017632  | pulmonologist                              | 1   |
| http://www.wikidata.org/entity/Q2135538   | legal historian                            | 1   |
| http://www.wikidata.org/entity/Q211346    | psychiatrist                               | 1   |
| http://www.wikidata.org/entity/Q2055046   | physiologist                               | 1   |
| http://www.wikidata.org/entity/Q19839393  | preface author                             | 1   |
|                                           |                                            |     |
