| object                                    | Postion Held                                                                                                                         | eff |
| ----------------------------------------- | ------------------------------------------------------------------------------------------------------------------------------------ | --- |
| http://www.wikidata.org/entity/Q18558478  | deputato della Repubblica Italiana                                                                                                   | 374 |
| http://www.wikidata.org/entity/Q13653224  | senatore della Repubblica Italiana                                                                                                   | 253 |
| http://www.wikidata.org/entity/Q3705737   | deputato dell'Assemblea Costituente della Repubblica Italiana                                                                        | 87  |
| http://www.wikidata.org/entity/Q27169     | eurodeputato                                                                                                                         | 76  |
| http://www.wikidata.org/entity/Q27991508  | ministro dello sviluppo economico della Repubblica Italiana                                                                          | 51  |
| http://www.wikidata.org/entity/Q28000241  | ministro del lavoro e delle politiche sociali della Repubblica Italiana                                                              | 44  |
| http://www.wikidata.org/entity/Q25973167  | ministro della giustizia della Repubblica Italiana                                                                                   | 43  |
| http://www.wikidata.org/entity/Q55075675  | ministro del commercio internazionale della Repubblica Italiana                                                                      | 40  |
| http://www.wikidata.org/entity/Q25514257  | ministro delle comunicazioni della Repubblica Italiana                                                                               | 40  |
| http://www.wikidata.org/entity/Q65494714  | Rappresentante dell'Assemblea parlamentare del Consiglio d'Europa                                                                    | 40  |
| http://www.wikidata.org/entity/Q658082    | ministro delle politiche agricole alimentari e forestali della Repubblica Italiana                                                   | 40  |
| http://www.wikidata.org/entity/Q27991492  | ministro degli esteri della Repubblica Italiana                                                                                      | 40  |
| http://www.wikidata.org/entity/Q27999166  | ministro per i rapporti con il Parlamento della Repubblica Italiana                                                                  | 39  |
| http://www.wikidata.org/entity/Q1538785   | ministro della difesa della Repubblica Italiana                                                                                      | 39  |
| http://www.wikidata.org/entity/Q54869579  | ministro della marina mercantile della Repubblica Italiana                                                                           | 39  |
| http://www.wikidata.org/entity/Q27999438  | ministro dei trasporti della Repubblica Italiana                                                                                     | 38  |
| http://www.wikidata.org/entity/Q1541071   | ministro dell'interno della Repubblica Italiana                                                                                      | 35  |
| http://www.wikidata.org/entity/Q34153264  | ministro della pubblica istruzione della Repubblica Italiana                                                                         | 35  |
| http://www.wikidata.org/entity/Q27795992  | ministro della salute della Repubblica Italiana                                                                                      | 34  |
| http://www.wikidata.org/entity/Q55087463  | ministro delle finanze della Repubblica Italiana                                                                                     | 34  |
| http://www.wikidata.org/entity/Q55096558  | ministro del bilancio e della programmazione economica della Repubblica Italiana                                                     | 32  |
| http://www.wikidata.org/entity/Q54873257  | ministro dei lavori pubblici della Repubblica Italiana                                                                               | 31  |
| http://www.wikidata.org/entity/Q796897    | presidente del Consiglio dei ministri della Repubblica Italiana                                                                      | 29  |
| http://www.wikidata.org/entity/Q55044982  | Ministri per la pubblica amministrazione della Repubblica Italiana                                                                   | 29  |
| http://www.wikidata.org/entity/Q55045585  | ministro per gli affari europei della Repubblica Italiana                                                                            | 26  |
| http://www.wikidata.org/entity/Q4011164   | vicepresidente del Consiglio dei ministri della Repubblica Italiana                                                                  | 25  |
| http://www.wikidata.org/entity/Q33125109  | ministro per gli affari regionali e le autonomie della Repubblica Italiana                                                           | 24  |
| http://www.wikidata.org/entity/Q65494724  | membro supplente dell'Assemblea Parlamentare del Consiglio d'Europa                                                                  | 24  |
| http://www.wikidata.org/entity/Q55096536  | ministro del tesoro della Repubblica Italiana                                                                                        | 24  |
| http://www.wikidata.org/entity/Q55168089  | ministro del turismo e dello spettacolo della Repubblica Italiana                                                                    | 23  |
| http://www.wikidata.org/entity/Q20058666  | deputato del Regno d'Italia                                                                                                          | 22  |
| http://www.wikidata.org/entity/Q1714174   | giudice della Corte costituzionale della Repubblica Italiana                                                                         | 18  |
| http://www.wikidata.org/entity/Q32137240  | ministro dell'ambiente e della tutela del territorio e del mare della Repubblica Italiana                                            | 18  |
| http://www.wikidata.org/entity/Q55168394  | ministro senza portafoglio per il riordinamento delle partecipazioni statali della Repubblica Italiana                               | 18  |
| http://www.wikidata.org/entity/Q55168483  | ministro senza portafoglio per gli interventi straordinari nel Mezzogiorno della Repubblica Italiana                                 | 18  |
| http://www.wikidata.org/entity/Q54879125  | ministro senza portafoglio per il coordinamento delle iniziative per la ricerca scientifica e tecnologica della Repubblica Italiana  | 17  |
| http://www.wikidata.org/entity/Q55110776  | ministro per i beni culturali e ambientali della Repubblica Italiana                                                                 | 16  |
| http://www.wikidata.org/entity/Q62990902  | deputato della Consulta nazionale del Regno d'Italia                                                                                 | 16  |
| http://www.wikidata.org/entity/Q826589    | senatore a vita della Repubblica Italiana                                                                                            | 15  |
| http://www.wikidata.org/entity/Q55341394  | ministro della Presidenza del Consiglio dei ministri della Repubblica Italiana                                                       | 14  |
| http://www.wikidata.org/entity/Q54879307  | ministro dell'università e della ricerca scientifica e tecnologica della Repubblica Italiana                                         | 12  |
| http://www.wikidata.org/entity/Q55024178  | ministro per le riforme istituzionali della Repubblica Italiana                                                                      | 12  |
| http://www.wikidata.org/entity/Q28002382  | ministro dell'economia e delle finanze della Repubblica Italiana                                                                     | 12  |
| http://www.wikidata.org/entity/Q55088865  | ministro senza portafoglio per il coordinamento della protezione civile della Repubblica Italiana                                    | 11  |
| http://www.wikidata.org/entity/Q55049421  | ministro dei beni e delle attività culturali della Repubblica Italiana                                                               | 9   |
| http://www.wikidata.org/entity/Q1255921   | presidente                                                                                                                           | 9   |
| http://www.wikidata.org/entity/Q670106    | sindaco                                                                                                                              | 9   |
| http://www.wikidata.org/entity/Q7477985   | presidente del Senato della Repubblica Italiana                                                                                      | 9   |
| http://www.wikidata.org/entity/Q6092845   | ministro delle infrastrutture e dei trasporti della Repubblica Italiana                                                              | 9   |
| http://www.wikidata.org/entity/Q55200191  | ministro senza portafoglio per l'organizzazione della pubblica amministrazione e per le Regioni della Repubblica Italiana            | 9   |
| http://www.wikidata.org/entity/Q3721646   | ministro dell'istruzione, dell'università e della ricerca della Repubblica Italiana                                                  | 9   |
| http://www.wikidata.org/entity/Q55045153  | ministro per il Sud e la coesione territoriale della Repubblica Italiana                                                             | 8   |
| http://www.wikidata.org/entity/Q332711    | presidente della Repubblica Italiana                                                                                                 | 8   |
| http://www.wikidata.org/entity/Q114836270 | Segretario del Consiglio dei ministri                                                                                                | 8   |
| http://www.wikidata.org/entity/Q3721668   | ministri per le pari opportunità della Repubblica Italiana                                                                           | 8   |
| http://www.wikidata.org/entity/Q23936560  | sindaco di Roma                                                                                                                      | 8   |
| http://www.wikidata.org/entity/Q30185     | sindaco                                                                                                                              | 7   |
| http://www.wikidata.org/entity/Q96141206  | vicepresidente del Consiglio Superiore della Magistratura                                                                            | 6   |
| http://www.wikidata.org/entity/Q212071    | rettore                                                                                                                              | 6   |
| http://www.wikidata.org/entity/Q55053641  | ministro per lo sport della Repubblica Italiana                                                                                      | 6   |
| http://www.wikidata.org/entity/Q3965289   | sottosegretario alla Presidenza del Consiglio dei ministri                                                                           | 6   |
| http://www.wikidata.org/entity/Q55110413  | ministro senza portafoglio per i problemi delle aree urbane della Repubblica Italiana                                                | 6   |
| http://www.wikidata.org/entity/Q55075086  | Ministri per la gioventù della Repubblica Italiana                                                                                   | 6   |
| http://www.wikidata.org/entity/Q15309742  | segretario del Partito Democratico                                                                                                   | 5   |
| http://www.wikidata.org/entity/Q55075011  | ministro per l'attuazione del programma della Repubblica Italiana                                                                    | 5   |
| http://www.wikidata.org/entity/Q121998    | ambasciatore                                                                                                                         | 5   |
| http://www.wikidata.org/entity/Q55045454  | ministro per la famiglia e le disabilità della Repubblica Italiana                                                                   | 5   |
| http://www.wikidata.org/entity/Q14469746  | sottosegretario di Stato                                                                                                             | 5   |
| http://www.wikidata.org/entity/Q55121936  | ministro senza portafoglio con incarichi speciali della Repubblica Italiana                                                          | 4   |
| http://www.wikidata.org/entity/Q33159467  | ministro senza portafoglio del Regno d'Italia                                                                                        | 4   |
| http://www.wikidata.org/entity/Q55167536  | ministro senza portafoglio per il coordinamento delle politiche comunitarie e per gli affari regionali della Repubblica Italiana     | 4   |
| http://www.wikidata.org/entity/Q55096361  | ministro senza portafoglio per la funzione pubblica e gli affari regionali della Repubblica Italiana                                 | 4   |
| http://www.wikidata.org/entity/Q708492    | consigliere comunale                                                                                                                 | 4   |
| http://www.wikidata.org/entity/Q3687266   | consigliere comunale                                                                                                                 | 4   |
