| p                                          | propLabel                                                               | eff   | notes |
| ------------------------------------------ | ----------------------------------------------------------------------- | ----- | ----- |
| http://www.wikidata.org/prop/direct/P39    | position held                                                           | 10895 |       |
| http://www.wikidata.org/prop/direct/P106   | occupation                                                              | 4016  |       |
| http://www.wikidata.org/prop/direct/P166   | award received                                                          | 3686  |       |
| http://www.wikidata.org/prop/direct/P27    | country of citizenship                                                  | 2958  |       |
| http://www.wikidata.org/prop/direct/P102   | member of political party                                               | 2307  |       |
| http://www.wikidata.org/prop/direct/P937   | work location                                                           | 2193  |       |
| http://www.wikidata.org/prop/direct/P735   | given name                                                              | 1953  |       |
| http://www.wikidata.org/prop/direct/P1412  | languages spoken, written or signed                                     | 1935  |       |
| http://www.wikidata.org/prop/direct/P18    | image                                                                   | 1797  |       |
| http://www.wikidata.org/prop/direct/P734   | family name                                                             | 1795  |       |
| http://www.wikidata.org/prop/direct/P569   | date of birth                                                           | 1792  |       |
| http://www.wikidata.org/prop/direct/P19    | place of birth                                                          | 1786  |       |
| http://www.wikidata.org/prop/direct/P21    | sex or gender                                                           | 1784  |       |
| http://www.wikidata.org/prop/direct/P31    | instance of                                                             | 1784  |       |
| http://www.wikidata.org/prop/direct/P103   | native language                                                         | 1778  |       |
| http://www.wikidata.org/prop/direct/P373   | Commons category                                                        | 1763  |       |
| http://www.wikidata.org/prop/direct/P1559  | name in native language                                                 | 1723  |       |
| http://www.wikidata.org/prop/direct/P1341  | Italian Chamber of Deputies dati ID                                     | 1685  |       |
| http://www.wikidata.org/prop/direct/P214   | VIAF cluster ID                                                         | 1585  |       |
| http://www.wikidata.org/prop/direct/P396   | SBN author ID                                                           | 1543  |       |
| http://www.wikidata.org/prop/direct/P69    | educated at                                                             | 1494  |       |
| http://www.wikidata.org/prop/direct/P3935  | Chamber of Deputies of Italy storia ID                                  | 1441  |       |
| http://www.wikidata.org/prop/direct/P213   | ISNI                                                                    | 1399  |       |
| http://www.wikidata.org/prop/direct/P10832 | WorldCat Entities ID                                                    | 1322  |       |
| http://www.wikidata.org/prop/direct/P227   | GND ID                                                                  | 1297  |       |
| http://www.wikidata.org/prop/direct/P1477  | birth name                                                              | 1293  |       |
| http://www.wikidata.org/prop/direct/P20    | place of death                                                          | 1280  |       |
| http://www.wikidata.org/prop/direct/P570   | date of death                                                           | 1279  |       |
| http://www.wikidata.org/prop/direct/P244   | Library of Congress authority ID                                        | 1260  |       |
| http://www.wikidata.org/prop/direct/P2600  | Geni.com profile ID                                                     | 1152  |       |
| http://www.wikidata.org/prop/direct/P13591 | Yale LUX ID                                                             | 1144  |       |
| http://www.wikidata.org/prop/direct/P269   | IdRef ID                                                                | 1141  |       |
| http://www.wikidata.org/prop/direct/P3987  | SHARE Catalogue author ID                                               | 1136  |       |
| http://www.wikidata.org/prop/direct/P12458 | Parsifal cluster ID                                                     | 1118  |       |
| http://www.wikidata.org/prop/direct/P646   | Freebase ID                                                             | 1113  |       |
| http://www.wikidata.org/prop/direct/P3365  | Treccani ID                                                             | 1058  |       |
| http://www.wikidata.org/prop/direct/P463   | member of                                                               | 1031  |       |
| http://www.wikidata.org/prop/direct/P2549  | Italian Senate of the Republic ID                                       | 940   |       |
| http://www.wikidata.org/prop/direct/P3368  | Prabook ID                                                              | 835   |       |
| http://www.wikidata.org/prop/direct/P7865  | CoBiS author ID                                                         | 819   |       |
