| wikidata_uri                              | label                              | birth_year | gender  | label                    | geo_coordinates             | wikidata_uri                             |
| ----------------------------------------- | ---------------------------------- | ---------- | ------- | ------------------------ | --------------------------- | ---------------------------------------- |
| http://www.wikidata.org/entity/Q104599786 | Maria Cristina Messa               | 1961       | femmina | Monza                    | POINT(9.273611 45.583611)   | http://www.wikidata.org/entity/Q6252     |
| http://www.wikidata.org/entity/Q105296748 | Daniele Franco                     | 1953       | maschio | Trichiana                | POINT(12.134445 46.074444)  | http://www.wikidata.org/entity/Q40468    |
| http://www.wikidata.org/entity/Q105320865 | Patrizio Bianchi                   | 1952       | maschio | Copparo                  | POINT(11.833333 44.900000)  | http://www.wikidata.org/entity/Q95098    |
| http://www.wikidata.org/entity/Q1053876   | Randolfo Pacciardi                 | 1899       | maschio | Giuncarico               | POINT(10.991945 42.906945)  | http://www.wikidata.org/entity/Q2456297  |
| http://www.wikidata.org/entity/Q1055104   | Pietro Lunardi                     | 1939       | maschio | Parma                    | POINT(10.328000 44.801472)  | http://www.wikidata.org/entity/Q2683     |
| http://www.wikidata.org/entity/Q1055449   | Matteo Salvini                     | 1973       | maschio | Milano                   | POINT(9.190000 45.466944)   | http://www.wikidata.org/entity/Q490      |
| http://www.wikidata.org/entity/Q1055575   | Raffaele Costa                     | 1936       | maschio | Mondovì                  | POINT(7.816667 44.383333)   | http://www.wikidata.org/entity/Q20188    |
| http://www.wikidata.org/entity/Q1056622   | Guido Bodrato                      | 1933       | maschio | Monteu Roero             | POINT(7.933333 44.783333)   | http://www.wikidata.org/entity/Q20210    |
| http://www.wikidata.org/entity/Q1059394   | Antonio Bisaglia                   | 1929       | maschio | Rovigo                   | POINT(11.794000 45.080900)  | http://www.wikidata.org/entity/Q6572     |
| http://www.wikidata.org/entity/Q1060314   | Raffaele Fitto                     | 1969       | maschio | Maglie                   | POINT(18.300000 40.116667)  | http://www.wikidata.org/entity/Q52153    |
| http://www.wikidata.org/entity/Q1071031   | Paolo Gentiloni                    | 1954       | maschio | Roma                     | POINT(12.482778 41.893056)  | http://www.wikidata.org/entity/Q220      |
| http://www.wikidata.org/entity/Q1071053   | Cesare Damiano                     | 1948       | maschio | Cuneo                    | POINT(7.550000 44.383333)   | http://www.wikidata.org/entity/Q5968     |
| http://www.wikidata.org/entity/Q1071082   | Barbara Pollastrini                | 1947       | femmina | Darfo Boario Terme       | POINT(10.186667 45.894444)  | http://www.wikidata.org/entity/Q104565   |
| http://www.wikidata.org/entity/Q1074349   | Luigi Scotti                       | 1932       | maschio | Napoli                   | POINT(14.248611 40.835833)  | http://www.wikidata.org/entity/Q2634     |
| http://www.wikidata.org/entity/Q1075557   | Andrea Ronchi                      | 1955       | maschio | Perugia                  | POINT(12.388549 43.111918)  | http://www.wikidata.org/entity/Q3437     |
| http://www.wikidata.org/entity/Q1079940   | Elio Vito                          | 1960       | maschio | Napoli                   | POINT(14.248611 40.835833)  | http://www.wikidata.org/entity/Q2634     |
| http://www.wikidata.org/entity/Q1082088   | Carlo Vizzini                      | 1947       | maschio | Palermo                  | POINT(13.361262 38.115658)  | http://www.wikidata.org/entity/Q2656     |
| http://www.wikidata.org/entity/Q1098092   | Claudio Martelli                   | 1943       | maschio | Gessate                  | POINT(9.433333 45.550000)   | http://www.wikidata.org/entity/Q42993    |
| http://www.wikidata.org/entity/Q1098169   | Claudio Scajola                    | 1948       | maschio | Imperia                  | POINT(8.029653 43.886467)   | http://www.wikidata.org/entity/Q13318    |
| http://www.wikidata.org/entity/Q1113992   | Tina Anselmi                       | 1927       | femmina | Castelfranco Veneto      | POINT(11.933333 45.666667)  | http://www.wikidata.org/entity/Q29352    |
| http://www.wikidata.org/entity/Q1123857   | Paolo Barile                       | 1917       | maschio | Bologna                  | POINT(11.342778 44.493889)  | http://www.wikidata.org/entity/Q1891     |
| http://www.wikidata.org/entity/Q1135246   | Corrado Passera                    | 1954       | maschio | Como                     | POINT(9.086139 45.810250)   | http://www.wikidata.org/entity/Q1308     |
| http://www.wikidata.org/entity/Q114796202 | Marina Elvira Calderone            | 1965       | femmina | Bonorva                  | POINT(8.766667 40.416667)   | http://www.wikidata.org/entity/Q390280   |
| http://www.wikidata.org/entity/Q114796723 | Matteo Piantedosi                  | 1963       | maschio | Napoli                   | POINT(14.248611 40.835833)  | http://www.wikidata.org/entity/Q2634     |
| http://www.wikidata.org/entity/Q117902    | Giuliano Vassalli                  | 1915       | maschio | Perugia                  | POINT(12.388549 43.111918)  | http://www.wikidata.org/entity/Q3437     |
| http://www.wikidata.org/entity/Q11860     | Silvio Berlusconi                  | 1936       | maschio | Milano                   | POINT(9.190000 45.466944)   | http://www.wikidata.org/entity/Q490      |
| http://www.wikidata.org/entity/Q12109526  | Carlo Trigilia                     | 1951       | maschio | Siracusa                 | POINT(15.287500 37.069167)  | http://www.wikidata.org/entity/Q13670    |
| http://www.wikidata.org/entity/Q12112673  | Massimo Bray                       | 1959       | maschio | Lecce                    | POINT(18.169139 40.352011)  | http://www.wikidata.org/entity/Q13386    |
| http://www.wikidata.org/entity/Q12132390  | Maria Chiara Carrozza              | 1965       | femmina | Pisa                     | POINT(10.400000 43.716667)  | http://www.wikidata.org/entity/Q13375    |
| http://www.wikidata.org/entity/Q1218549   | Antonio Bassolino                  | 1947       | maschio | Afragola                 | POINT(14.316667 40.916667)  | http://www.wikidata.org/entity/Q71610    |
| http://www.wikidata.org/entity/Q1220      | Giorgio Napolitano                 | 1925       | maschio | Napoli                   | POINT(14.248611 40.835833)  | http://www.wikidata.org/entity/Q2634     |
| http://www.wikidata.org/entity/Q1224      | Carlo Azeglio Ciampi               | 1920       | maschio | Livorno                  | POINT(10.316667 43.550000)  | http://www.wikidata.org/entity/Q6761     |
| http://www.wikidata.org/entity/Q1226622   | Dino Del Bo                        | 1916       | maschio | Milano                   | POINT(9.190000 45.466944)   | http://www.wikidata.org/entity/Q490      |
| http://www.wikidata.org/entity/Q1228      | Oscar Luigi Scalfaro               | 1918       | maschio | Novara                   | POINT(8.620000 45.450000)   | http://www.wikidata.org/entity/Q6046     |
| http://www.wikidata.org/entity/Q122901    | Giuseppe Ermini                    | 1900       | maschio | Roma                     | POINT(12.482778 41.893056)  | http://www.wikidata.org/entity/Q220      |
| http://www.wikidata.org/entity/Q1230      | Francesco Cossiga                  | 1928       | maschio | Sassari                  | POINT(8.559167 40.726667)   | http://www.wikidata.org/entity/Q13629    |
| http://www.wikidata.org/entity/Q1237108   | Domenico Corcione                  | 1929       | maschio | Torino                   | POINT(7.676111 45.079167)   | http://www.wikidata.org/entity/Q495      |
| http://www.wikidata.org/entity/Q1238      | Giuseppe Saragat                   | 1898       | maschio | Torino                   | POINT(7.676111 45.079167)   | http://www.wikidata.org/entity/Q495      |
| http://www.wikidata.org/entity/Q1240      | Antonio Segni                      | 1891       | maschio | Sassari                  | POINT(8.559167 40.726667)   | http://www.wikidata.org/entity/Q13629    |
| http://www.wikidata.org/entity/Q1240927   | Agazio Loiero                      | 1940       | maschio | Santa Severina           | POINT(16.916667 39.150000)  | http://www.wikidata.org/entity/Q54519    |
