person_uri,labelPer,birthYear,gender,labelPlace,geometry,uriPlace,periods,index_right,reg_name,reg_istat_code_num,reg_istat_code,coded_Region,activityYear,periodsActivity,pk_person_features,occupation_main,occupation_sec1,occupation_sec2,party_sec1,fk_person,codedSecOccupation,codedSecparty
http://www.wikidata.org/entity/Q3839099,Ludovico D'Aragona,1876.0,maschio,Cernusco sul Naviglio,POINT (9.333333 45.516667),http://www.wikidata.org/entity/Q185619,1871-1880,2.0,Lombardia,3.0,3.0,Nord,1911.0,1907-1926,355,politico,sindacalista,mancante,Partito Socialista Italiano,355,sindacalista,Sinistra/Centro Sinistra
http://www.wikidata.org/entity/Q463243,Carlo Sforza,1872.0,maschio,Montignoso,POINT (10.166667 44.016667),http://www.wikidata.org/entity/Q52236,1871-1880,8.0,Toscana,9.0,9.0,Centro,1907.0,1907-1926,461,politico,diplomatico,mancante,Partito Repubblicano Italiano,461,diplomatico,Sinistra/Centro Sinistra
http://www.wikidata.org/entity/Q3771001,Giuseppe Micheli,1874.0,maschio,Parma,POINT (10.328 44.801472),http://www.wikidata.org/entity/Q2683,1871-1880,7.0,Emilia-Romagna,8.0,8.0,Nord,1909.0,1907-1926,331,politico,mancante,mancante,Partito Popolare Italiano,331,mancante,Centro
http://www.wikidata.org/entity/Q1242,Luigi Einaudi,1874.0,maschio,Carrù,POINT (7.883333 44.483333),http://www.wikidata.org/entity/Q19372,1871-1880,0.0,Piemonte,1.0,1.0,Nord,1909.0,1907-1926,41,politico,avvocato,giornalista,Partito Liberale Italiano,41,avvocato,Destra/Centro Destra
http://www.wikidata.org/entity/Q3839683,Luigi Gasparotto,1873.0,maschio,Sacile,POINT (12.50274 45.95412),http://www.wikidata.org/entity/Q53190,1871-1880,5.0,Friuli-Venezia Giulia,6.0,6.0,Nord,1908.0,1907-1926,358,politico,avvocato,mancante,Partito Democratico del Lavoro,358,avvocato,Sinistra/Centro Sinistra
http://www.wikidata.org/entity/Q3766583,Giovanni Battista Bertone,1874.0,maschio,Mondovì,POINT (7.816667 44.383333),http://www.wikidata.org/entity/Q20188,1871-1880,0.0,Piemonte,1.0,1.0,Nord,1909.0,1907-1926,312,politico,mancante,mancante,Partito Popolare Italiano,312,mancante,Centro
http://www.wikidata.org/entity/Q3929057,Raffaele De Caro,1883.0,maschio,Benevento,POINT (14.783333 41.133333),http://www.wikidata.org/entity/Q13437,1881-1890,14.0,Campania,15.0,15.0,Sud,1918.0,1907-1926,406,politico,avvocato,mancante,Partito Liberale Italiano,406,avvocato,Destra/Centro Destra
http://www.wikidata.org/entity/Q366104,Adone Zoli,1887.0,maschio,Cesena,POINT (12.233333 44.133333),http://www.wikidata.org/entity/Q6662,1881-1890,7.0,Emilia-Romagna,8.0,8.0,Nord,1922.0,1907-1926,233,politico,avvocato,partigiano,Democrazia Cristiana,233,avvocato,Centro
http://www.wikidata.org/entity/Q3677256,Cino Macrelli,1887.0,maschio,Sarsina,POINT (12.15 43.916667),http://www.wikidata.org/entity/Q99956,1881-1890,7.0,Emilia-Romagna,8.0,8.0,Nord,1922.0,1907-1926,235,politico,avvocato,giornalista,Partito Repubblicano Italiano,235,avvocato,Sinistra/Centro Sinistra
http://www.wikidata.org/entity/Q3677447,Cipriano Facchinetti,1889.0,maschio,Campobasso,POINT (14.6684 41.561),http://www.wikidata.org/entity/Q3497,1881-1890,13.0,Molise,14.0,14.0,Sud,1924.0,1907-1926,236,politico,giornalista,mancante,Partito Repubblicano Italiano,236,giornalista,Sinistra/Centro Sinistra
